	'bitch',	0.04717149
	'hoe',	0.020337991
	'like',	0.018439159
	['bitch',	0.013991895
	'bitch']	0.013542172
	'fuck',	0.010693923
	'get',	0.010444076
	'pussi',	0.010044322
	'ass',	0.009344752
	'u',	0.008095521
	'got',	0.0074459203
	'hoe']	0.0073459814
	'nigga',	0.007196074
	'shit',	0.006846289
	'trash',	0.006346597
	'lol']	0.006196689
	'know',	0.005846904
	'co',	0.0055470886
	'http',	0.0048475186
	'amp',	0.0048475186
	'love',	0.0047975495
	'go',	0.0045976723
	'look',	0.004547703
	['fuck',	0.0042978567
	'one',	0.0042478875
	'want',	0.0041979183
	'make',	0.0040480103
	'still',	0.0036482562
	'pussi']	0.003598287
	'call',	0.00339841
	'see',	0.0033484406
	'say',	0.0032984714
	'back',	0.0032984714
	'trash']	0.003248502
	'even',	0.0031985329
	'white',	0.0031485634
	'good',	0.0030985943
	'faggot',	0.0030985943
	'think',	0.0029986557
	'need',	0.0029486862
	'n',	0.002898717
	'rt',	0.002848748
	'stop',	0.00269884
	'time',	0.0026488707
	'man',	0.0026488707
	'real',	0.0026488707
	'bird',	0.0026488707
	'yo',	0.0025989015
	'come',	0.0025489323
	'lol',	0.0025489323
